"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Dev\projects\Assistant\resource\weather\refresh.svg", "XML", 0, 0, 0, 0, 0, 10, 1, 0, 11
"d:\Dev\projects\Assistant\server.js", "JavaScript", 121, 0, 0, 0, 0, 0, 27, 36, 184
"d:\Dev\projects\Assistant\setting.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 0, 66
"d:\Dev\projects\Assistant\utils\Database.js", "JavaScript", 55, 0, 0, 0, 0, 0, 4, 9, 68
"d:\Dev\projects\Assistant\utils\IpcEvent.js", "JavaScript", 29, 0, 0, 0, 0, 0, 12, 7, 48
"d:\Dev\projects\Assistant\utils\Logger.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 4, 19
"d:\Dev\projects\Assistant\utils\MainIPCStream.js", "JavaScript", 37, 0, 0, 0, 0, 0, 3, 11, 51
"d:\Dev\projects\Assistant\utils\Plugin.js", "JavaScript", 43, 0, 0, 0, 0, 0, 16, 19, 78
"d:\Dev\projects\Assistant\utils\Rwkv.js", "JavaScript", 276, 0, 0, 0, 0, 0, 10, 47, 333
"d:\Dev\projects\Assistant\utils\TTSService.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 8, 39
"d:\Dev\projects\Assistant\utils\Window.js", "JavaScript", 176, 0, 0, 0, 0, 0, 33, 42, 251
"d:\Dev\projects\Assistant\utils\killProcesses.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 6, 32
"Total", "-", 4007, 15499, 56, 390, 553, 444, 728, 1287, 22964
